"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2025","117.70","118.28","119.51","117.20","6.30M","-0.68%"
"03/10/2025","118.50","116.95","119.26","116.91","5.02M","1.51%"
"03/07/2025","116.74","114.81","116.94","114.32","3.48M","1.65%"
"03/06/2025","114.84","115.50","115.68","113.81","3.76M","-0.34%"
"03/05/2025","115.23","115.61","116.91","115.04","3.49M","-1.01%"
"03/04/2025","116.41","119.27","119.68","116.37","3.89M","-1.90%"
"03/03/2025","118.67","117.32","118.72","116.66","4.26M","1.00%"
"02/28/2025","117.49","117.10","117.98","115.80","5.40M","1.38%"
"02/27/2025","115.89","115.62","116.79","115.00","3.24M","-0.36%"
"02/26/2025","116.31","116.91","117.14","115.80","3.02M","-0.84%"
"02/25/2025","117.29","116.42","117.71","116.01","3.11M","1.18%"
"02/24/2025","115.92","115.90","116.97","114.79","2.73M","0.32%"
"02/21/2025","115.55","112.69","115.96","112.56","4.42M","2.11%"
"02/20/2025","113.16","111.51","113.26","111.04","3.16M","1.23%"
"02/19/2025","111.79","111.32","112.11","110.95","3.86M","0.81%"
"02/18/2025","110.89","111.50","112.23","110.51","4.73M","-0.64%"
"02/14/2025","111.60","113.27","113.95","111.53","3.58M","-2.06%"
"02/13/2025","113.95","115.30","115.66","112.88","5.66M","-2.08%"
"02/12/2025","116.37","114.74","116.48","114.34","4.15M","-0.27%"
"02/11/2025","116.69","115.42","116.81","113.98","2.40M","0.94%"
"02/10/2025","115.60","114.99","115.62","113.66","2.61M","0.53%"
"02/07/2025","114.99","114.18","115.69","113.92","3.48M","0.41%"
"02/06/2025","114.52","114.03","114.91","113.36","2.59M","0.58%"
"02/05/2025","113.86","113.14","114.21","112.45","4.86M","1.27%"
"02/04/2025","112.43","112.64","112.83","111.32","2.09M","-0.68%"
"02/03/2025","113.20","111.98","113.46","111.20","4.83M","1.08%"
"01/31/2025","111.99","112.26","112.45","111.38","3.54M","-0.24%"
"01/30/2025","112.26","112.02","112.40","110.81","2.20M","1.48%"
"01/29/2025","110.62","111.48","112.21","110.54","2.74M","-0.62%"
"01/28/2025","111.31","112.38","112.70","111.28","3.66M","-1.16%"
"01/27/2025","112.62","111.00","112.76","109.43","3.59M","2.51%"
"01/24/2025","109.86","108.85","110.25","108.74","2.70M","0.48%"
"01/23/2025","109.34","109.30","109.74","108.68","2.61M","0.48%"
"01/22/2025","108.82","110.55","110.62","108.63","4.28M","-1.76%"
"01/21/2025","110.77","110.00","111.35","109.30","3.14M","1.38%"
"01/17/2025","109.26","108.73","109.90","108.45","2.93M","0.18%"
"01/16/2025","109.06","106.10","109.08","105.90","2.90M","2.45%"
"01/15/2025","106.45","108.10","108.10","106.35","3.79M","-0.37%"
"01/14/2025","106.85","106.16","106.88","105.61","2.87M","0.67%"
"01/13/2025","106.14","106.47","106.56","105.20","2.39M","0.26%"
"01/10/2025","105.87","107.47","108.59","105.44","3.00M","-2.18%"
"01/08/2025","108.23","106.56","108.44","106.49","3.21M","1.33%"
"01/07/2025","106.81","106.68","107.85","106.30","2.98M","0.41%"
"01/06/2025","106.37","107.35","107.42","105.90","4.36M","-1.31%"
"01/03/2025","107.78","108.07","108.67","107.65","2.30M","-0.04%"
"01/02/2025","107.82","108.48","108.88","107.44","2.87M","0.07%"
"12/31/2024","107.74","107.88","108.12","107.18","2.99M","0.03%"
"12/30/2024","107.71","108.00","108.13","107.05","2.22M","-0.58%"
"12/27/2024","108.34","107.60","109.00","107.50","2.13M","0.03%"
"12/26/2024","108.31","108.68","108.95","107.86","2.91M","-0.61%"
"12/24/2024","108.97","108.39","109.03","108.11","991.92K","0.38%"
"12/23/2024","108.56","108.11","108.64","107.16","2.76M","0.26%"
"12/20/2024","108.28","107.16","108.69","106.72","6.04M","1.12%"
"12/19/2024","107.08","105.88","108.24","105.74","4.24M","1.25%"
"12/18/2024","105.76","107.38","107.91","105.63","4.71M","-1.97%"
"12/17/2024","107.89","106.95","108.20","106.53","2.78M","0.42%"
"12/16/2024","107.44","108.74","109.21","107.18","5.67M","-1.27%"
"12/13/2024","108.82","109.66","110.00","108.73","5.14M","-0.31%"
"12/12/2024","109.16","110.21","110.32","108.77","3.09M","-0.39%"
"12/11/2024","109.59","110.80","110.99","109.18","3.82M","-1.37%"
"12/10/2024","111.11","111.94","111.94","110.32","2.94M","-0.67%"
"12/09/2024","111.86","111.71","112.60","111.28","2.57M","-0.21%"
"12/06/2024","112.10","113.84","114.35","111.95","2.81M","-1.68%"
"12/05/2024","114.01","113.21","114.40","113.00","2.18M","0.64%"
"12/04/2024","113.28","113.45","113.75","112.72","2.22M","-0.32%"
"12/03/2024","113.64","115.80","116.21","113.63","2.44M","-1.34%"
"12/02/2024","115.18","117.05","117.29","114.81","3.43M","-1.60%"
"11/29/2024","117.05","117.20","117.72","116.88","1.90M","-0.32%"
"11/27/2024","117.42","117.68","118.58","117.28","2.22M","0.32%"
"11/26/2024","117.04","115.39","117.10","115.08","2.85M","1.77%"
"11/25/2024","115.00","115.05","115.89","114.17","4.16M","0.26%"
"11/22/2024","114.70","115.52","116.00","114.61","2.01M","-0.14%"
"11/21/2024","114.86","114.13","115.04","113.15","3.10M","0.98%"
"11/20/2024","113.74","113.44","113.95","113.00","2.33M","0.14%"
"11/19/2024","113.58","113.30","113.63","112.04","3.86M","0.04%"
"11/18/2024","113.54","111.99","113.68","111.67","5.03M","1.22%"
"11/15/2024","112.17","109.47","112.25","109.40","3.87M","1.35%"
"11/14/2024","110.68","111.57","111.57","110.54","3.69M","-0.57%"
"11/13/2024","111.31","112.52","112.80","110.67","2.19M","-0.51%"
"11/12/2024","111.88","112.66","113.08","111.76","2.88M","-0.52%"
"11/11/2024","112.46","112.64","114.16","112.39","3.24M","-0.68%"
"11/08/2024","113.23","111.77","114.05","111.56","3.79M","1.94%"
"11/07/2024","111.08","112.64","113.21","110.31","5.59M","-2.24%"
"11/06/2024","113.63","114.01","114.25","112.52","4.24M","-0.39%"
"11/05/2024","114.08","112.59","114.17","112.06","2.56M","1.39%"
"11/04/2024","112.52","112.68","113.13","112.07","3.05M","-0.14%"
"11/01/2024","112.68","114.68","115.40","112.60","3.71M","-2.25%"
"10/31/2024","115.27","113.99","115.82","113.89","3.84M","1.11%"
"10/30/2024","114.00","115.03","115.27","113.82","2.48M","-0.36%"
"10/29/2024","114.41","116.00","116.35","114.38","3.48M","-2.26%"
"10/28/2024","117.06","117.21","118.06","117.02","2.21M","-0.13%"
"10/25/2024","117.21","119.49","119.53","117.21","2.41M","-1.52%"
"10/24/2024","119.02","120.80","120.95","118.92","2.28M","-1.29%"
"10/23/2024","120.57","119.79","120.61","119.38","2.29M","0.58%"
"10/22/2024","119.88","118.72","119.94","118.38","2.88M","-0.01%"
"10/21/2024","119.89","121.05","121.25","119.67","2.70M","-0.72%"
"10/18/2024","120.76","120.74","120.85","119.62","3.56M","0.15%"
"10/17/2024","120.58","119.78","120.81","119.48","4.59M","0.67%"
"10/16/2024","119.78","117.60","120.09","116.95","4.78M","2.27%"
"10/15/2024","117.12","116.50","118.07","115.70","2.86M","1.76%"
"10/14/2024","115.09","114.17","115.26","114.10","2.81M","0.81%"
"10/11/2024","114.17","113.40","114.33","113.12","3.41M","0.93%"
"10/10/2024","113.12","111.89","113.50","111.03","6.30M","1.62%"
"10/09/2024","111.32","110.80","111.62","110.30","3.60M","0.59%"
"10/08/2024","110.67","111.00","111.14","110.05","4.81M","0.40%"
"10/07/2024","110.23","113.79","113.79","110.12","5.96M","-3.35%"
"10/04/2024","114.05","114.63","114.87","113.81","3.51M","-1.48%"
"10/03/2024","115.76","116.98","117.09","115.48","3.86M","-0.79%"
"10/02/2024","116.68","115.50","116.81","115.13","3.36M","0.40%"
"10/01/2024","116.22","115.45","116.46","114.91","3.73M","0.80%"
"09/30/2024","115.30","116.29","116.34","114.34","5.54M","-0.58%"
"09/27/2024","115.97","115.50","116.33","114.83","3.52M","0.69%"
"09/26/2024","115.17","115.12","116.32","114.84","3.43M","-0.89%"
"09/25/2024","116.21","116.60","116.76","115.37","3.50M","0.20%"
"09/24/2024","115.98","116.50","117.76","115.83","2.93M","-1.13%"
"09/23/2024","117.31","116.86","117.47","116.46","2.33M","0.81%"
"09/20/2024","116.37","115.66","116.67","115.34","6.28M","1.07%"
"09/19/2024","115.14","115.09","115.54","113.95","3.95M","-0.64%"
"09/18/2024","115.88","116.63","117.18","115.29","2.27M","-0.73%"
"09/17/2024","116.73","117.55","117.73","116.32","2.25M","-0.82%"
"09/16/2024","117.70","118.11","118.31","117.46","2.21M","0.33%"
"09/13/2024","117.31","116.24","117.40","115.74","2.31M","1.16%"
"09/12/2024","115.97","116.36","116.82","115.84","2.39M","-0.20%"
"09/11/2024","116.20","116.38","116.49","115.34","3.67M","-0.62%"
"09/10/2024","116.93","117.37","118.18","116.71","2.59M","-0.20%"
"09/09/2024","117.16","116.93","117.25","115.94","2.83M","0.48%"
"09/06/2024","116.60","117.05","117.33","116.22","3.48M","-0.21%"
"09/05/2024","116.85","117.77","118.11","116.32","2.59M","-0.18%"
"09/04/2024","117.06","116.48","117.93","116.19","2.80M","1.10%"
"09/03/2024","115.79","114.00","116.41","113.91","3.79M","1.61%"
"08/30/2024","113.95","113.00","114.08","112.84","3.02M","0.85%"
